Year,Term,YearTerm,Subject,Number,Course Title,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor
2021,Fall,2021-fa,AAS,100,Intro Asian American Studies,DIS,2,14,2,3,5,3,0,1,0,0,0,0,0,0,"Zheng, Reanne"
2021,Fall,2021-fa,AAS,100,Intro Asian American Studies,DIS,0,15,0,3,5,1,0,2,0,0,0,0,1,0,"Atienza, Paul Michael L"
2021,Fall,2021-fa,AAS,100,Intro Asian American Studies,OD,7,4,1,1,7,0,2,3,0,0,1,0,1,0,"Wang, Yu"
2021,Fall,2021-fa,AAS,100,Intro Asian American Studies,DIS,1,18,0,2,4,1,0,0,0,0,0,0,0,0,"Zheng, Reanne"
2021,Fall,2021-fa,AAS,100,Intro Asian American Studies,DIS,0,16,1,3,5,1,0,2,0,0,0,0,0,0,"Atienza, Paul Michael L"
2021,Fall,2021-fa,AAS,100,Intro Asian American Studies,OD,10,4,2,2,1,1,1,2,0,0,0,0,3,0,"Wang, Yu"
2021,Fall,2021-fa,AAS,100,Intro Asian American Studies,DIS,5,9,3,0,5,2,0,0,0,0,0,0,3,0,"Gonzalez, Daniel A"
2021,Fall,2021-fa,AAS,100,Intro Asian American Studies,DIS,2,14,1,2,3,1,0,1,2,0,0,0,0,0,"Gonzalez, Daniel A"
2021,Fall,2021-fa,AAS,100,Intro Asian American Studies,DIS,5,12,3,0,3,1,0,0,2,0,0,0,0,0,"Rosado-Torres, Alexander"
2021,Fall,2021-fa,AAS,100,Intro Asian American Studies,DIS,7,11,1,0,3,3,0,1,0,0,0,0,0,0,"Rosado-Torres, Alexander"
2021,Fall,2021-fa,AAS,120,Intro to Asian Am Pop Culture,LCD,4,11,7,1,1,1,3,1,1,0,1,0,0,0,"Park, Doo Jae"
2021,Fall,2021-fa,AAS,200,U.S. Race and Empire,LCD,10,7,4,4,1,2,1,1,0,1,1,0,0,0,"Park, Doo Jae"
2021,Fall,2021-fa,ABE,100,Intro Agric & Biological Engrg,LEC,0,20,0,6,2,0,2,0,0,0,0,0,1,0,"Bhattarai, Rabin"
2021,Fall,2021-fa,ABE,224,ABE Principles: Soil & Water,OLC,3,13,0,2,3,0,0,1,0,0,0,0,0,1,"Kalita, Prasanta K"
2021,Fall,2021-fa,ABE,232,Context Intl Interventions,LCD,11,10,7,3,1,1,1,0,0,0,0,0,0,2,"Witmer, Ann-Perry"
2021,Fall,2021-fa,ABE,430,Project Management,OLC,0,101,0,8,22,0,3,8,0,0,0,0,1,0,"Davidson, Paul C"
2021,Fall,2021-fa,ABE,436,Renewable Energy Systems,LEC,2,4,8,9,2,3,2,1,0,0,0,0,0,0,"Wang, Xinlei"
2021,Fall,2021-fa,ABE,488,Bioprocessing Biomass for Fuel,LEC,2,2,4,4,7,7,2,0,2,1,0,0,0,0,"Singh, Vijay"
2021,Fall,2021-fa,ABE,501,Graduate Research I,LCD,0,20,0,0,2,0,0,0,0,0,0,0,0,0,"Zhang, Yuanhui"
