tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Biology,1112,University Of Illinois at Urbana - Champaign,Bradley,,Mehrtens,381154,271,good,TEACHER,PROFESSOR,4.2
Chemistry,1112,University Of Illinois at Urbana - Champaign,Tom,,Hummel,157386,254,good,TEACHER,PROFESSOR,4.2
Accounting,1112,University Of Illinois at Urbana - Champaign,Susan,,Curtis,24428,226,average,TEACHER,PROFESSOR,2.6
Economics,1112,University Of Illinois at Urbana - Champaign,Jose,,Vazquez,492019,211,good,TEACHER,PROFESSOR,3.5
Mathematics,1112,University Of Illinois at Urbana - Champaign,Bob,,Murphy,1369371,186,good,TEACHER,PROFESSOR,4.5
Chemistry,1112,University Of Illinois at Urbana - Champaign,Christian,,Ray,896427,186,good,TEACHER,PROFESSOR,4.2
Mathematics,1112,University Of Illinois at Urbana - Champaign,Javid,,Validashti,1633738,185,good,TEACHER,PROFESSOR,4.7
Statistics,1112,University Of Illinois at Urbana - Champaign,Karle,A,Flanagan,1876600,185,good,TEACHER,PROFESSOR,5
Chemistry,1112,University Of Illinois at Urbana - Champaign,Kelly,,Marville,1569137,177,average,TEACHER,PROFESSOR,2.7
Mathematics,1112,University Of Illinois at Urbana - Champaign,Ellen,,Fireman,94792,171,good,TEACHER,PROFESSOR,4.7
Economics,1112,University Of Illinois at Urbana - Champaign,Joseph,,Petry,215723,162,good,TEACHER,PROFESSOR,3.9
Statistics,1112,University Of Illinois at Urbana - Champaign,Alexei,,Stepanov,776819,162,good,TEACHER,PROFESSOR,4.2
Science,1112,University Of Illinois at Urbana - Champaign,Eric,,Snodgrass,992806,158,good,TEACHER,PROFESSOR,4.8
Economics,1112,University Of Illinois at Urbana - Champaign,Colleen,,Schultz,391978,158,average,TEACHER,PROFESSOR,2.5
Business,1112,University Of Illinois at Urbana - Champaign,Michael,,Dyer,24429,153,average,TEACHER,PROFESSOR,3
Economics,1112,University Of Illinois at Urbana - Champaign,Werner,,Baer,176914,149,average,TEACHER,PROFESSOR,3.2
Geology,1112,University Of Illinois at Urbana - Champaign,Stephen,,Altaner,133576,141,good,TEACHER,PROFESSOR,4.1
Chemistry,1112,University Of Illinois at Urbana - Champaign,Tina,,Huang,1665735,133,good,TEACHER,PROFESSOR,3.8
Computer Science,1112,University Of Illinois at Urbana - Champaign,Thomas,,Gambill,122806,130,good,TEACHER,PROFESSOR,3.5
Physics,1112,University Of Illinois at Urbana - Champaign,Timothy (Tim),,Stelzer,57225,123,good,TEACHER,PROFESSOR,4.5
Food Science,1112,University Of Illinois at Urbana - Champaign,Toni,Marie,Gist,2320708,123,good,TEACHER,PROFESSOR,4.9
Biology,1112,University Of Illinois at Urbana - Champaign,Ben,,Clegg,774129,122,good,TEACHER,PROFESSOR,5
Business,1112,University Of Illinois at Urbana - Champaign,Mark,,Wolters,1620627,121,good,TEACHER,PROFESSOR,4.9
Mathematics,1112,University Of Illinois at Urbana - Champaign,Thomas,,Carty,703564,118,average,TEACHER,PROFESSOR,2.8
Political Science,1112,University Of Illinois at Urbana - Champaign,Joseph,,Hinchliffe,295309,114,poor,TEACHER,PROFESSOR,2.1
Economics,1112,University Of Illinois at Urbana - Champaign,Isaac,,Dilanni,1743688,112,good,TEACHER,PROFESSOR,4.5
Computer Science,1112,University Of Illinois at Urbana - Champaign,Lawrence,,Angrave,1117293,108,good,TEACHER,PROFESSOR,4.3
Science,1112,University Of Illinois at Urbana - Champaign,Christine,,Yerkes,94797,106,average,TEACHER,PROFESSOR,3.2
Mathematics,1112,University Of Illinois at Urbana - Champaign,Rosemary,K,Guzman,2036750,106,poor,TEACHER,PROFESSOR,1.4
Psychology,1112,University Of Illinois at Urbana - Champaign,Tom,,Srull,124038,104,average,TEACHER,PROFESSOR,3.5
Mathematics,1112,University Of Illinois at Urbana - Champaign,Lena,C,Folwaczny,1907208,99,poor,TEACHER,PROFESSOR,2.3
Accounting,1112,University Of Illinois at Urbana - Champaign,Julia,,Shapland,1251256,96,good,TEACHER,PROFESSOR,3.5
Chemistry,1112,University Of Illinois at Urbana - Champaign,Don,,Decoste,227828,95,good,TEACHER,PROFESSOR,4.6
Computer Science,1112,University Of Illinois at Urbana - Champaign,Geoffrey,,Challen,2327680,93,good,TEACHER,PROFESSOR,3.5
Chemistry,1112,University Of Illinois at Urbana - Champaign,Gretchen,,Adams,477677,92,good,TEACHER,PROFESSOR,4.8
